Case #1:
15 478
27 410
28 1413
38 883
60 49
111 911
195 410
199 1280
237 308
261 597
263 475
357 220
477 1636
499 29
517 448
520 705
524 284
563 63
570 160
680 618
708 483
754 534
814 811
908 591
974 292
981 278
984 467
1044 32
1053 965
1060 39
1086 860
1237 376
1394 271
1517 1443
1607 491
1632 1505
1643 967
1721 570
1728 740
1760 569
1767 837
1823 353
1847 365
1906 121
2013 493
2059 775
2209 892
2231 39
2282 1104
2294 686
2380 873
2408 1592
2502 609
2505 509
2587 835
2757 482
2820 134
2867 333
2901 218
2953 1325
3009 691
3012 671
3084 1336
3121 87
3132 270
3187 287
3318 273
3322 401
3375 512
3396 220
3489 48
3503 86
3591 39
3659 150
3726 685
3766 68
3769 1210
3882 461
3951 236
3981 151
4005 169
4054 1336
4102 992
4115 1697
4120 1514
4136 889
4158 128
4201 1257
4210 396
4306 1413
4416 256
4422 22
4429 167
4474 1177
4504 225
4551 539
4600 180
4638 1375
4657 618
4708 395
4746 376
4914 1261
4944 448
4949 1262
4972 1365
5021 1521
5064 478
5130 1018
5220 1717
5322 127
5354 745
5401 1627
5458 1621
5484 579
5588 1179
5618 401
5632 1376
5649 539
5659 506
5717 860
5813 551
5870 1586
5896 648
5904 61
5950 22
6021 203
6079 555
6095 1022
6143 827
6195 71
6224 225
6250 597
6266 956
6384 358
6453 801
6502 134
6544 507
6634 597
6644 51
6649 462
6688 622
6712 251
6751 199
6753 900
6814 660
6837 167
6839 308
6865 145
6911 487
6916 560
7001 49
7225 70
7308 373
7371 461
7392 860
7395 1231
7415 593
7449 857
7451 423
7519 147
7586 342
7671 140
7699 1651
7832 618
7845 1319
7864 1407
7901 406
7937 219
7988 252
8009 140
8032 617
8093 872
8135 471
8156 180
8173 953
8177 631
8229 1723
8262 597
8272 555
8275 1051
8328 1172
8354 334
8360 1129
8415 1112
8470 17
8527 276
8543 1279
8575 912
8624 29
8692 784
8695 164
8708 1128
8777 874
8794 956
8810 905
8931 1360
8960 665
9079 13
9128 221
9147 505
9240 308
9259 508
9267 1302
9297 401
9353 271
9427 490
9437 980
9469 1707
9525 401
9531 597
9544 517
9606 251
9670 709
9819 169
9848 591
9900 228
10016 1125
10054 284
10102 371
10120 174
10313 164
10313 675
10364 665
10387 461
10404 181
10547 712
10762 373
10791 843
10832 956
10913 594
10939 68
11019 376
11138 861
11152 618
11244 751
11305 174
11350 141
11434 1689
11459 524
11529 218
11559 753
11582 398
11623 1026
11698 479
11749 512
11801 1339
11826 248
11866 175
11870 478
11923 291
11968 376
12000 425
12005 219
12020 677
12160 102
12189 163
12248 1399
12290 117
12301 732
12312 749
12334 631
12367 63
12421 205
12466 1639
12489 482
12552 538
12614 712
12624 121
12637 276
12681 486
12685 379
12874 517
12972 1425
12992 18
13012 188
13014 837
13038 830
13053 132
13054 161
13113 18
13262 145
13294 378
13345 775
13378 1686
13383 277
13384 1744
13497 63
13498 180
13513 1399
13588 867
13615 482
13642 428
13653 961
13686 1049
13724 56
13730 100
13756 967
13757 180
13901 117
13902 1741
13980 1044
14005 68
14041 1317
14158 1329
14260 493
14316 217
14330 212
14485 612
14494 212
14550 706
14554 188
14563 1034
14564 818
14633 545
14663 127
14687 253
14739 18
14784 145
14784 867
14824 127
14862 432
14878 726
14879 995
14916 509
14954 42
14982 892
15024 1580
15114 319
15124 42
15167 376
15306 97
15344 370
15425 1245
15558 488
15654 777
15669 117
15681 214
15686 205
15786 1248
15887 1439
15936 519
16044 898
16146 63
16180 1373
16210 325
16289 512
16396 512
16396 97
16637 1279
16642 48
16709 462
16743 827
16808 462
16816 555
16855 1291
16856 145
16883 221
17004 1339
17159 205
17185 317
17232 1093
17238 685
17254 180
17314 1329
17321 8
17344 910
17391 164
17393 284
17563 15
17640 1585
17656 1396
17710 271
17721 1438
17747 432
17917 318
17961 545
18000 464
18062 684
18084 401
18097 945
18198 727
18384 376
18388 205
18397 1307
18477 253
18479 277
18545 49
18562 184
18615 842
18624 833
18633 797
18676 948
18715 383
18771 100
18777 132
19044 576
19114 905
19291 32
19314 15
19398 945
19417 1440
19420 32
19452 18
19462 745
19480 315
19488 181
19519 462
19546 397
19614 117
19785 150
19799 219
19856 199
19876 784
19898 180
19952 184
20007 465
20058 14
20095 597
20130 1098
20134 1362
20142 504
20172 170
20177 1672
20243 195
20418 980
20447 117
20518 168
20541 111
20703 764
20704 814
20720 772
20722 18
20722 242
20790 615
20951 309
21072 134
21090 446
21147 1082
21159 260
21168 482
21171 711
21173 1399
21175 1608
21175 390
21189 1070
21266 221
21292 505
21293 898
21308 1416
21356 103
21358 166
21378 538
21495 352
21502 689
21565 18
21577 205
21610 395
21650 447
21674 519
21686 1248
21873 1561
21935 1137
21946 154
22013 271
22030 777
22282 410
22295 378
22300 805
22305 150
22381 140
22516 1634
22624 751
22670 425
22676 1266
22740 255
22744 347
22750 81
22752 68
22762 425
22904 397
22904 378
22938 948
23208 976
23225 1142
23259 1399
23304 220
23345 646
23348 462
23400 28
23433 1
23504 1293
23505 140
23568 400
23628 72
23646 398
23669 401
23721 378
23782 143
23791 912
23802 319
23805 18
23811 512
23866 205
23880 73
23925 174
24009 5
24080 478
24116 9
24135 163
24163 486
24271 487
24301 76
24449 347
24461 151
24514 181
24516 90
24516 1362
24559 180
24645 1278
24711 797
24720 134
24782 570
24813 43
24872 205
24885 512
24890 1302
24971 965
25008 1340
25034 1012
25064 483
25068 1572
25083 180
25098 908
25200 68
25211 661
25227 161
25229 63
25358 378
25364 150
25370 884
25385 373
25486 205
25502 11
25542 593
25551 425
25557 1340
25582 396
25628 181
25634 33
25665 291
25747 52
25753 461
25761 352
25812 462
25821 318
25827 945
25837 1065
25848 205
25870 483
25981 923
26124 482
26185 163
26235 159
26245 406
26367 512
26393 151
26496 18
26594 251
26662 128
26675 538
26684 1091
26731 199
26792 830
26886 980
26956 352
27011 51
27098 1632
27132 211
27145 284
27161 342
27184 1632
27200 163
27206 42
27314 188
27385 251
27397 630
27397 566
27440 706
27485 107
27492 1129
27492 271
27534 431
27545 1399
27596 354
27636 591
27646 699
27684 18
27723 9
27783 76
27879 898
27969 184
27993 920
28001 555
28019 884
28032 1417
28033 39
28049 576
28073 486
28105 1769
28145 184
28149 395
28197 1033
28200 564
28202 1099
28212 93
28232 1122
28236 561
28246 706
28273 122
28335 1118
28360 5
28382 194
28481 664
28543 251
28550 184
28601 1217
28618 570
28636 390
28652 68
28929 464
28940 1268
29065 170
29091 714
